Franck Alamo,Frank Alamo,3 788
Franck Dubosc,Franck Dubosc,15 717
Franck Ribéry,Franck Ribéry,58 485
Franck Sinatra,Frank Sinatra,14 765
François Bayrou,François Bayrou,6 157
François Berléand,François Berléand,9 537
François Cluzet,François Cluzet,14 774
François Corbier,François Corbier,2 924
François Damiens,François Damiens,32 994
François Duvalier,François Duvalier,3 818
François Ferdinand de Habsbourg,François-Ferdinand d'Autriche,8 241
François Fillon,François Fillon,12 801
François Hollande,François Hollande,32 959
François Mauriac,François Mauriac,13 491
François Mitterrand,François Mitterrand,42 907
François Molins,François Molins,7 110
François Morel,François Morel (acteur),4 821
François Ozon,François Ozon,5 689
François Truffaut,François Truffaut,14 946
François-Xavier Demaison,François-Xavier Demaison,17 843
Françoise Dolto,Françoise Dolto,62 510
Françoise Giroud,Françoise Giroud,4 613
Françoise Hardy,Françoise Hardy,14 275
Françoise Sagan,Françoise Sagan,9 494
Frank Alamo,Frank Alamo,3 788
Franz Kafka,Franz Kafka,15 325
Fred Chichin,Fred Chichin,7 682
Fred Courtaudons,NULL,NULL
Fred Vargas,Fred Vargas,17 356
Freddie Mercury,Freddie Mercury,54 033
Frédéric Beigbeder,Frédéric Beigbeder,15 711
Frédéric Chopin,Frédéric Chopin,21 476
Frédéric Dard,Frédéric Dard,4 775
Frédéric Michalak,Frédéric Michalak,11 184
Frederik de Klerk,Frederik de Klerk,2 560
Fredrich Nietzsche,Liste des œuvres de Frederick Delius,60
Frida Kahlo,Frida Kahlo,78 461
Fritz Lang,Fritz Lang,4 252
Fyodor Dostoïevski,Fiodor Dostoïevski,13 373
Gabriel Garcia Marquez,Gabriel García Márquez,6 912
Gad Elmaleh,Gad Elmaleh,32 084
Gaël Monfils,Gaël Monfils,67 329
Gaëtan Roussel,Gaëtan Roussel,10 268
Galilée,Galilée (savant),33 157
Gamal Abdel Nasser,Gamal Abdel Nasser,11 857
Gandhi,Mohandas Karamchand Gandhi,38 825
Garou,Garou,25 851
Gary Coleman,Gary Coleman,4 273
Gary Oldman,Gary Oldman,15 459
Gaspard Proust,Gaspard Proust,8 408
Gaston Lagaffe,Gaston Lagaffe,3 550
Gaston Leroux,Gaston Leroux,2 561
Gautier Capuçon,Gautier Capuçon,1 714
Geneviève Anthonioz de Gaulle,Geneviève de Gaulle-Anthonioz,3 601
Geneviève De Fontenay,Geneviève de Fontenay,6 754
Gengis Khan,Gengis Khan,18 831
Georg Cantor,Georg Cantor,1 486
Georg Ohm,Georg Ohm,1 463
George Clooney,George Clooney,30 168
George Foreman,George Foreman,3 723
George Lucas,George Lucas,13 908
George R.R. Martin,George R. R. Martin,9 085
George Romero,George A. Romero,3 129
George Sand,George Sand,34 152
George V,George V,23 313
Georges Besse,Georges Besse,1 854
Georges Brassens,Georges Brassens,22 499
Georges Charpak,Georges Charpak,2 377
Georges Clémenceau,Georges Clemenceau,24 464
Georges Clooney,George Clooney,30 168
Georges Malbrunot,Georges Malbrunot,825
Georges Moustaki,Georges Moustaki,17 644
Georges Orwell,George Orwell,19 345
Georges Perec,Georges Perec,12 611
Georges Pompidou,Georges Pompidou,29 305
Georges Simenon,Georges Simenon,7 384
Georges W. Bush,George W. Bush,17 854
Georges Wolinski,Georges Wolinski,2 959
Gérald de Palmas,Gérald de Palmas,3 247
Gérard Collomb,Gérard Collomb,26 625
Gérard Depardieu,Gérard Depardieu,40 650
Gérard Holtz,Gérard Holtz,9 329
Gérard Jugnot,Gérard Jugnot,13 307
Gérard Landin,Règle du joueur désigné,942
Gerhard Schröder,Gerhard Schröder,3 840
Germaine Tillion,Germaine Tillion,4 768
Geronimo,Geronimo,5 930
Gerry Adams,Gerry Adams,448
Gilbert Becaud,Gilbert Bécaud,12 158
Gilbert Montagné,Gilbert Montagné,11 369
Gilles Lellouche,Gilles Lellouche,22 851
Giorgio Armani,Giorgio Armani,3 755
